policy,run,connections,requests,warmup,pipeline,keyspace,ttl_ms,seed,maxmemory,build_label,duration_seconds,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_p999_us,latency_max_us,latency_p99_over_p50,get_latency_p99_us,set_latency_p99_us,get_hit_rate_percent,requests_completed,set_errors,aof_bytes_after_run
off,1,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,12.467688,802073.30,626.336,612.721,861.765,966.615,1085.294,3510.909,1.578,966.623,966.534,100.0000,10000000,0,0
off,2,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,12.501836,799882.53,627.945,613.741,861.120,966.294,1081.063,2133.794,1.574,966.291,966.344,100.0000,10000000,0,0
off,3,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,12.426825,804710.77,624.387,610.262,866.059,956.185,1048.228,3163.147,1.567,956.197,956.051,100.0000,10000000,0,0
off,4,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,12.266099,815255.13,616.665,600.057,848.730,949.516,1084.914,3459.022,1.582,949.508,949.614,100.0000,10000000,0,0
off,5,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,12.397914,806587.31,623.858,609.215,864.231,954.353,1048.097,1948.382,1.567,954.359,954.256,100.0000,10000000,0,0
no,1,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.170374,759279.87,669.198,667.188,743.443,825.854,974.146,2841.784,1.238,825.429,830.168,100.0000,10000000,0,134366493
no,2,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.392275,746699.15,680.552,672.267,781.305,894.285,1099.426,3147.746,1.330,894.120,895.993,100.0000,10000000,0,134366493
no,3,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.151786,760353.00,668.247,667.020,739.246,813.350,947.125,2672.500,1.219,812.667,818.905,100.0000,10000000,0,134366493
no,4,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.223003,756257.86,671.871,670.336,746.421,824.482,1000.639,3320.067,1.230,823.748,830.288,100.0000,10000000,0,134366493
no,5,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.288546,752527.78,675.240,673.981,742.296,818.364,1021.580,3740.019,1.214,817.701,824.676,100.0000,10000000,0,134366493
everysec,1,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.378321,747477.96,679.741,671.665,758.743,867.098,1409.159,13786.121,1.291,866.697,870.820,100.0000,10000000,0,134366493
everysec,2,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.374151,747711.01,679.486,668.741,764.532,865.250,1427.091,18138.753,1.294,865.027,867.690,100.0000,10000000,0,134366493
everysec,3,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.347382,749210.58,678.149,669.595,758.182,869.164,1434.953,13922.606,1.298,868.839,872.610,100.0000,10000000,0,134366493
everysec,4,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.219602,756452.41,671.649,662.923,734.691,826.638,1377.336,18479.749,1.247,826.071,830.585,100.0000,10000000,0,134366493
everysec,5,32,10000000,1000,16,100000,0,1,64MiB,gcc-O2,13.261653,754053.81,673.854,665.706,737.339,819.071,1361.460,23721.980,1.230,818.585,823.453,100.0000,10000000,0,134366493
