target,workload,commands,page_cache_group,runs,replay_min_seconds,replay_median_seconds,replay_p95_seconds,replay_max_seconds,replay_cv
project-rbtree,zset,10000,first,1,0.003413365,0.003413365,0.003413365,0.003413365,0.0
project-rbtree,zset,10000,subsequent,4,0.003464133,0.0036121855,0.003723546,0.003723546,0.02979569431673347
project-rbtree,zset,100000,first,1,0.046089414,0.046089414,0.046089414,0.046089414,0.0
project-rbtree,zset,100000,subsequent,4,0.041998063,0.0431119685,0.047085023,0.047085023,0.05335571489811604
project-rbtree,zset,1000000,first,1,0.623558554,0.623558554,0.623558554,0.623558554,0.0
project-rbtree,zset,1000000,subsequent,4,0.57191003,0.5766125200000001,0.629524639,0.629524639,0.04650548116962053
project-skiplist,hash,10000,first,1,0.003023937,0.003023937,0.003023937,0.003023937,0.0
project-skiplist,hash,10000,subsequent,4,0.002329914,0.002608028,0.002756773,0.002756773,0.07446350025030768
project-skiplist,hash,100000,first,1,0.025699175,0.025699175,0.025699175,0.025699175,0.0
project-skiplist,hash,100000,subsequent,4,0.02604811,0.0272544655,0.028363794,0.028363794,0.03502472885424329
project-skiplist,hash,1000000,first,1,0.369745954,0.369745954,0.369745954,0.369745954,0.0
project-skiplist,hash,1000000,subsequent,4,0.356566981,0.38327905,0.41679334,0.41679334,0.07348036225539609
project-skiplist,string,10000,first,1,0.002394144,0.002394144,0.002394144,0.002394144,0.0
project-skiplist,string,10000,subsequent,4,0.002366604,0.0028463865,0.002961062,0.002961062,0.09843081174655996
project-skiplist,string,100000,first,1,0.029876889,0.029876889,0.029876889,0.029876889,0.0
project-skiplist,string,100000,subsequent,4,0.030790603,0.032027667499999996,0.033668718,0.033668718,0.03796922620603351
project-skiplist,string,1000000,first,1,0.424551131,0.424551131,0.424551131,0.424551131,0.0
project-skiplist,string,1000000,subsequent,4,0.406124273,0.42580258400000004,0.454806878,0.454806878,0.054168608197243576
project-skiplist,zset,10000,first,1,0.004571243,0.004571243,0.004571243,0.004571243,0.0
project-skiplist,zset,10000,subsequent,4,0.003374879,0.003517752,0.003763197,0.003763197,0.05054410994457783
project-skiplist,zset,100000,first,1,0.039033124,0.039033124,0.039033124,0.039033124,0.0
project-skiplist,zset,100000,subsequent,4,0.038484163,0.042552386,0.043905348,0.043905348,0.05731449875944765
project-skiplist,zset,1000000,first,1,0.537393511,0.537393511,0.537393511,0.537393511,0.0
project-skiplist,zset,1000000,subsequent,4,0.528997009,0.5334299545,0.535047755,0.535047755,0.004948608689396899
redis,hash,10000,first,1,0.008,0.008,0.008,0.008,0.0
redis,hash,10000,subsequent,4,0.007,0.007,0.008,0.008,0.06896551724137931
redis,hash,100000,first,1,0.069,0.069,0.069,0.069,0.0
redis,hash,100000,subsequent,4,0.069,0.07050000000000001,0.072,0.072,0.018311977996252473
redis,hash,1000000,first,1,0.841,0.841,0.841,0.841,0.0
redis,hash,1000000,subsequent,4,0.854,0.8835,1.008,1.008,0.07704791040740312
redis,string,10000,first,1,0.006,0.006,0.006,0.006,0.0
redis,string,10000,subsequent,4,0.006,0.006,0.006,0.006,0.0
redis,string,100000,first,1,0.064,0.064,0.064,0.064,0.0
redis,string,100000,subsequent,4,0.063,0.063,0.064,0.064,0.007905138339920955
redis,string,1000000,first,1,0.749,0.749,0.749,0.749,0.0
redis,string,1000000,subsequent,4,0.738,0.744,0.756,0.756,0.01018626045150416
redis,zset,10000,first,1,0.008,0.008,0.008,0.008,0.0
redis,zset,10000,subsequent,4,0.007,0.0075,0.008,0.008,0.07698003589195011
redis,zset,100000,first,1,0.084,0.084,0.084,0.084,0.0
redis,zset,100000,subsequent,4,0.082,0.08549999999999999,0.089,0.089,0.04726844309154826
redis,zset,1000000,first,1,1.037,1.037,1.037,1.037,0.0
redis,zset,1000000,subsequent,4,1.017,1.0375,1.061,1.061,0.0216425242816429
