target,policy,scenario,workload,connections,pipeline,rounds,operation_mix,payload_kind,value_bytes,qps_median,qps_cv_percent,cv_valid,p50_us_median,p95_us_median,p99_us_median,p999_us_median,max_us_median,errors_total,actual_final_cardinality,aof_backpressure_events_max,bgsave_duration_us_median,fork_pause_us_median,child_peak_rss_kb_max,child_minor_faults_median,child_major_faults_median,cow_bytes_median,rdb_recovery_cardinality
hash,everysec,bgsave,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,744091.34,1.1535305163964438,1,574.406,887.487,1063.731,2523.749,21739.134,0,100000,0,478618,9305,19356,61,0,0,100000
hash,everysec,bgsave,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1383255.92,2.102807455217961,1,1213.182,1991.465,2484.352,14840.671,28291.178,0,100000,0,522002,8397,19880,62,0,0,100000
hash,everysec,normal,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,737510.82,1.6278639374829804,1,578.547,905.595,1098.956,2153.673,15442.075,0,100000,0,0,0,0,0,0,0,0
hash,everysec,normal,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1337241.72,1.2912964892856458,1,1245.272,2108.568,2570.224,17512.14,25071.314,0,100000,0,0,0,0,0,0,0,0
hash,off,normal,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,833188.28,3.0878999463509578,1,527.234,847.915,1011.493,1450.648,11881.125,0,100000,0,0,0,0,0,0,0,0
hash,off,normal,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1471940.27,1.603132110517428,1,1187.58,1924.576,2379.951,2957.361,6632.405,0,100000,0,0,0,0,0,0,0,0
rbtree,everysec,bgsave,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,735268.55,0.48673312243005484,1,585.094,979.263,1253.933,1605.447,12321.146,0,100000,0,337068,4908,25756,58,0,0,100000
rbtree,everysec,bgsave,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1528213.42,2.3393167586580637,1,1128.068,1916.218,2439.76,3511.022,17339.994,0,100000,0,382485,4177,26020,59,0,0,100000
rbtree,everysec,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,735590.96,1.1844745786462214,1,589.198,973.135,1244.093,1596.203,12680.772,0,100000,0,0,0,0,0,0,0,0
rbtree,everysec,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1552161.03,2.1031991297633006,1,1111.441,1893.187,2408.941,3369.271,16302.45,0,100000,0,0,0,0,0,0,0,0
rbtree,off,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,759133.01,0.16958833201708406,1,578.527,902.808,989.167,1170.706,4735.731,0,100000,0,0,0,0,0,0,0,0
rbtree,off,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1538688.86,2.4252018870915237,1,1130.52,1907.791,2366.752,2961.844,5430.16,0,100000,0,0,0,0,0,0,0,0
redis,everysec,bgsave,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,794300.55,1.5318569580237293,1,595.473,898.338,1088.851,1382.907,12204.84,0,100000,0,0,0,0,0,0,10465280,100000
redis,everysec,bgsave,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1219927.07,0.739853818840761,1,1390.832,2628.436,3559.333,4788.472,12979.258,0,100000,0,0,0,0,0,0,11669504,100000
redis,everysec,bgsave,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,710062.89,0.911135504144279,1,684.72,1002.256,1342.939,1531.376,11837.79,0,100000,0,0,0,0,0,0,12468224,100000
redis,everysec,bgsave,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1420981.01,1.1225735871408409,1,1332.051,2310.817,2631.675,3035.868,13473.03,0,100000,0,0,0,0,0,0,13451264,100000
redis,everysec,bgsave,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,641985.85,1.3197115411868376,1,769.527,1098.917,1266.862,1532.621,12247.15,0,100000,0,0,0,0,0,0,6098944,100000
redis,everysec,bgsave,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,961113.03,2.2304565248339325,1,1987.458,2872.883,3568.236,4355.059,13135.946,0,100000,0,0,0,0,0,0,6533120,100000
redis,everysec,normal,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,757458.1,0.7864794940122901,1,621.704,967.66,1189.523,1905.006,12449.368,0,100000,0,0,0,0,0,0,0,0
redis,everysec,normal,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1194017.0,1.0635972253024912,1,1421.935,2632.665,3520.296,4815.633,14757.333,0,100000,0,0,0,0,0,0,0,0
redis,everysec,normal,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,711209.33,0.8114015042263546,1,671.568,977.44,1324.815,5573.922,12935.763,0,100000,0,0,0,0,0,0,0,0
redis,everysec,normal,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1437694.55,0.9879775241504826,1,1313.999,2280.503,2619.285,3063.98,9743.636,0,100000,0,0,0,0,0,0,0,0
redis,everysec,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,643565.01,0.7309997858687275,1,767.946,1100.955,1271.135,1516.047,12370.669,0,100000,0,0,0,0,0,0,0,0
redis,everysec,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,967684.69,1.2007686040384518,1,1975.716,2842.023,3528.687,4337.12,13952.376,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,hash-mixed,32,16,5,90% HGET / 10% HSET,hash-value,64,852134.78,1.6630538076227306,1,551.21,841.032,1031.025,1314.074,5258.831,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,hash-mixed,32,64,5,90% HGET / 10% HSET,hash-value,64,1218597.79,0.5042192335876936,1,1405.903,2589.033,3274.698,4505.15,6812.64,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,747081.47,0.5517384627924669,1,651.794,927.702,1274.877,1406.533,5331.851,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1543315.86,0.3424671392621899,1,1230.163,2104.958,2402.896,2688.048,5629.659,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,658041.39,1.3208666941059315,1,750.358,1071.337,1235.694,1426.721,5496.756,0,100000,0,0,0,0,0,0,0,0
redis,off,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,989564.83,0.9761215325562097,1,1930.97,2798.537,3473.257,4256.372,12725.977,0,100000,0,0,0,0,0,0,0,0
skiplist,everysec,bgsave,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,735472.51,0.6911812739822502,1,587.652,981.651,1259.897,1596.246,11598.312,0,100000,0,337835,4818,25984,52,0,0,100000
skiplist,everysec,bgsave,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1510698.38,1.9954345556392534,1,1133.986,2010.684,2547.035,3597.014,16654.197,0,100000,0,381926,4037,26264,51,0,0,100000
skiplist,everysec,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,734461.1,0.637974753362064,1,589.775,982.387,1259.647,1610.407,12527.014,0,100000,0,0,0,0,0,0,0,0
skiplist,everysec,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1532505.25,4.699014837154504,1,1116.243,1971.157,2492.384,3602.397,19043.8,0,100000,0,0,0,0,0,0,0,0
skiplist,off,normal,zset-mixed,32,16,5,90% ZSCORE / 10% ZADD,zset-member,64,760678.18,0.5558180669206169,1,577.25,904.367,996.08,1228.629,5050.327,0,100000,0,0,0,0,0,0,0,0
skiplist,off,normal,zset-mixed,32,64,5,90% ZSCORE / 10% ZADD,zset-member,64,1575172.14,1.4862513818393448,1,1109.687,1825.109,2282.945,2945.409,5254.875,0,100000,0,0,0,0,0,0,0,0
string,everysec,bgsave,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,758728.73,0.30163115370939964,1,657.668,744.047,862.238,6565.642,18456.706,0,100000,0,604846,2498,29144,60,0,0,100000
string,everysec,bgsave,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1751162.49,0.7927158000797596,1,1112.179,1293.133,1666.146,14053.133,24866.968,0,100000,0,564995,3209,30128,62,0,0,100000
string,everysec,normal,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,752673.16,1.0243008369528528,1,659.389,756.009,870.709,8045.961,16739.754,0,100000,0,0,0,0,0,0,0,0
string,everysec,normal,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1770578.1,0.9810610373119557,1,1099.885,1277.719,1499.637,18846.708,28136.421,0,100000,0,0,0,0,0,0,0,0
string,off,normal,string-mixed,32,16,5,90% GET / 10% SET,string-value,64,808489.75,0.7742663388598927,1,603.08,857.651,959.395,1098.44,11717.267,0,100000,0,0,0,0,0,0,0,0
string,off,normal,string-mixed,32,64,5,90% GET / 10% SET,string-value,64,1888875.23,1.1767921705992197,1,1026.985,1432.634,1642.305,1942.623,5304.796,0,100000,0,0,0,0,0,0,0,0
